Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance
14.890999999999998,3606,283,2,34,11, Male,No,Yes,Caucasian,333
106.025,6645,483,3,82,15,Female,Yes,Yes,Asian,903
104.59299999999999,7075,514,4,71,11, Male,No,No,Asian,580
148.924,9504,681,3,36,11,Female,No,No,Asian,964
55.882,4897,357,2,68,16, Male,No,Yes,Caucasian,331
80.18,8047,569,4,77,10, Male,No,No,Caucasian,1151
20.996,3388,259,2,37,12,Female,No,No,African American,203
71.408,7114,512,2,87,9, Male,No,No,Asian,872
15.125,3300,266,5,66,13,Female,No,No,Caucasian,279
71.061,6819,491,3,41,19,Female,Yes,Yes,African American,1350
63.095,8117,589,4,30,14, Male,No,Yes,Caucasian,1407
15.045,1311,138,3,64,16, Male,No,No,Caucasian,0
80.616,5308,394,1,57,7,Female,No,Yes,Asian,204
43.681999999999995,6922,511,1,49,9, Male,No,Yes,Caucasian,1081
19.144000000000002,3291,269,2,75,13,Female,No,No,African American,148
20.089000000000002,2525,200,3,57,15,Female,No,Yes,African American,0
53.598,3714,286,3,73,17,Female,No,Yes,African American,0
36.496,4378,339,3,69,15,Female,No,Yes,Asian,368
49.57,6384,448,1,28,9,Female,No,Yes,Asian,891
42.07899999999999,6626,479,2,44,9, Male,No,No,Asian,1048
17.7,2860,235,4,63,16,Female,No,No,Asian,89
37.348,6378,458,1,72,17,Female,No,No,Caucasian,968
20.102999999999998,2631,213,3,61,10, Male,No,Yes,African American,0
64.027,5179,398,5,48,8, Male,No,Yes,African American,411
10.742,1757,156,3,57,15,Female,No,No,Caucasian,0
14.09,4323,326,5,25,16,Female,No,Yes,African American,671
42.471000000000004,3625,289,6,44,12,Female,Yes,No,Caucasian,654
32.793,4534,333,2,44,16, Male,No,No,African American,467
186.63400000000001,13414,949,2,41,14,Female,No,Yes,African American,1809
26.813000000000002,5611,411,4,55,16,Female,No,No,Caucasian,915
34.141999999999996,5666,413,4,47,5,Female,No,Yes,Caucasian,863
28.941,2733,210,5,43,16, Male,No,Yes,Asian,0
134.181,7838,563,2,48,13,Female,No,No,Caucasian,526
31.366999999999997,1829,162,4,30,10, Male,No,Yes,Caucasian,0
20.15,2646,199,2,25,14,Female,No,Yes,Asian,0
23.35,2558,220,3,49,12,Female,Yes,No,Caucasian,419
62.413000000000004,6457,455,2,71,11,Female,No,Yes,Caucasian,762
30.006999999999998,6481,462,2,69,9,Female,No,Yes,Caucasian,1093
11.795,3899,300,4,25,10,Female,No,No,Caucasian,531
13.647,3461,264,4,47,14, Male,No,Yes,Caucasian,344
34.95,3327,253,3,54,14,Female,No,No,African American,50
113.65899999999999,7659,538,2,66,15, Male,Yes,Yes,African American,1155
44.158,4763,351,2,66,13,Female,No,Yes,Asian,385
36.929,6257,445,1,24,14,Female,No,Yes,Asian,976
31.861,6375,469,3,25,16,Female,No,Yes,Caucasian,1120
77.38,7569,564,3,50,12,Female,No,Yes,Caucasian,997
19.531,5043,376,2,64,16,Female,Yes,Yes,Asian,1241
44.646,4431,320,2,49,15, Male,Yes,Yes,Caucasian,797
44.522,2252,205,6,72,15, Male,No,Yes,Asian,0
43.479,4569,354,4,49,13, Male,Yes,Yes,African American,902
36.361999999999995,5183,376,3,49,15, Male,No,Yes,African American,654
39.705,3969,301,2,27,20, Male,No,Yes,African American,211
44.205,5441,394,1,32,12, Male,No,Yes,Caucasian,607
16.304000000000002,5466,413,4,66,10, Male,No,Yes,Asian,957
15.333,1499,138,2,47,9,Female,No,Yes,Asian,0
32.916,1786,154,2,60,8,Female,No,Yes,Asian,0
57.1,4742,372,7,79,18,Female,No,Yes,Asian,379
76.273,4779,367,4,65,14,Female,No,Yes,Caucasian,133
10.354000000000001,3480,281,2,70,17, Male,No,Yes,Caucasian,333
51.872,5294,390,4,81,17,Female,No,No,Caucasian,531
35.51,5198,364,2,35,20,Female,No,No,Asian,631
21.238000000000003,3089,254,3,59,10,Female,No,No,Caucasian,108
30.682,1671,160,2,77,7,Female,No,No,Caucasian,0
14.132,2998,251,4,75,17, Male,No,No,Caucasian,133
32.164,2937,223,2,79,15,Female,No,Yes,African American,0
12.0,4160,320,4,28,14,Female,No,Yes,Caucasian,602
113.829,9704,694,4,38,13,Female,No,Yes,Asian,1388
11.187000000000001,5099,380,4,69,16,Female,No,No,African American,889
27.846999999999998,5619,418,2,78,15,Female,No,Yes,Caucasian,822
49.501999999999995,6819,505,4,55,14, Male,No,Yes,Caucasian,1084
24.889,3954,318,4,75,12, Male,No,Yes,Caucasian,357
58.781000000000006,7402,538,2,81,12,Female,No,Yes,Asian,1103
22.939,4923,355,1,47,18,Female,No,Yes,Asian,663
23.989,4523,338,4,31,15, Male,No,No,Caucasian,601
16.102999999999998,5390,418,4,45,10,Female,No,Yes,Caucasian,945
33.016999999999996,3180,224,2,28,16, Male,No,Yes,African American,29
30.622,3293,251,1,68,16, Male,Yes,No,Caucasian,532
20.936,3254,253,1,30,15,Female,No,No,Asian,145
110.96799999999999,6662,468,3,45,11,Female,No,Yes,Caucasian,391
15.354000000000001,2101,171,2,65,14, Male,No,No,Asian,0
27.369,3449,288,3,40,9,Female,No,Yes,Caucasian,162
53.48,4263,317,1,83,15, Male,No,No,Caucasian,99
23.671999999999997,4433,344,3,63,11, Male,No,No,Caucasian,503
19.225,1433,122,3,38,14,Female,No,No,Caucasian,0
43.54,2906,232,4,69,11, Male,No,No,Caucasian,0
152.298,12066,828,4,41,12,Female,No,Yes,Asian,1779
55.367,6340,448,1,33,15, Male,No,Yes,Caucasian,815
11.741,2271,182,4,59,12,Female,No,No,Asian,0
15.56,4307,352,4,57,8, Male,No,Yes,African American,579
59.53,7518,543,3,52,9,Female,No,No,African American,1176
