default,student,balance,income
No,No,729.5264952072861,44361.62507426691
No,Yes,817.180406555498,12106.1347003149
No,No,1073.54916401173,31767.1389473999
No,No,529.250604745278,35704.4939350781
No,No,785.655882930501,38463.4958787229
No,Yes,919.5885304745,7491.55857182746
No,No,825.513330517201,24905.226577523503
No,Yes,808.667504297266,17600.4513435869
No,No,1161.05785403132,37468.5292875375
No,No,0.0,29275.2682931678
No,Yes,0.0,21871.0730892776
No,Yes,1220.58375300377,13268.562220926102
No,No,237.045113977472,28251.6953449631
No,No,606.742343302464,44994.55584921731
No,No,1112.96840063305,23810.174050036
No,No,286.232560139224,45042.413035885496
No,No,0.0,50265.3123535985
No,Yes,527.540184074571,17636.5396172936
No,No,485.936864171729,61566.106117801
No,No,1095.0727352874,26464.631389228998
No,No,228.952549642572,50500.1821977441
No,No,954.261792773545,32457.5090750754
No,No,1055.95660472904,51317.8830823874
No,No,641.984388848021,30466.1032574814
No,No,773.211724534176,34353.3143050038
No,No,855.008522525692,25211.3321614539
No,No,642.999738515429,41473.5118010187
No,No,1454.86327248404,32189.0949523178
No,No,615.704276560405,39376.3946187014
No,Yes,1119.56935332865,16556.0702053511
No,No,494.81622880732596,54384.782836138605
No,Yes,448.88065625603895,15799.4704097956
No,Yes,584.90489468245,22429.9350462168
No,No,913.5871726089281,46907.22540286231
No,Yes,1423.93891664088,22634.4880875812
No,Yes,1499.7246565597302,13190.6527164103
No,No,692.034167065432,47806.6117728963
No,No,351.45347152301,35087.488648085804
No,No,742.627620785597,37864.8239388952
No,No,653.118400123388,39489.5947028613
No,No,872.138679538477,41787.5672689012
No,No,837.2626227541709,51471.772094637694
No,No,1151.63056608265,42917.4695636282
No,Yes,220.55560838643999,16872.9475557814
No,Yes,1690.2344103870098,19052.5722246955
No,No,408.772914305185,54206.9392120179
No,No,1238.61032124112,50066.6805336538
No,No,1228.30835035336,37408.5038685076
No,No,820.9192041461839,47746.5420731016
No,No,857.4851177764999,31688.3459738919
No,No,563.6181771823619,42641.253266646
No,Yes,1282.97253359578,13120.6364696027
No,Yes,1505.78267482884,26557.1414458808
No,Yes,904.0402590668131,16882.3006056535
No,No,0.0,49956.58057190599
No,Yes,1294.4973466731,10464.3207319231
No,Yes,1275.55063272364,15887.4684867774
No,No,1536.5946009725199,48766.9074575615
No,No,1332.5226438669501,39143.1370690178
No,No,492.079767815411,33379.094602839505
No,No,766.234379303894,46478.2942569524
No,No,690.127246199993,63432.9842544674
No,No,0.0,32481.540046115097
No,No,1480.65530926266,36866.1570686848
No,No,989.055596975304,45344.251320264804
No,No,1302.34183516856,33695.4262332636
No,No,1044.5523432847199,54696.7659816226
No,No,0.0,43658.2277239957
No,No,866.0284363679901,38363.421634711805
No,No,690.800792354134,48140.471335995
No,No,597.757142017061,31577.6151255677
No,No,429.485402306276,51311.218101023
No,No,1398.1562014832598,39644.9421931896
No,Yes,1578.0640985399402,19886.4939515168
No,No,857.0690531342419,26655.6889653755
No,Yes,752.459945958806,16211.2757881826
No,Yes,774.738426963927,15193.733135525
No,No,728.3732513025869,45131.71826469099
No,No,76.99129052990709,28392.0934122846
No,No,196.456913136183,41346.78591324
No,Yes,948.747918388616,14297.619048551298
No,No,431.920885304176,39369.881563100804
No,No,461.63818223377996,46221.2114948234
No,No,572.015760230599,33046.3129575033
No,No,335.568144733179,51258.4442299621
No,No,510.23759315638,60397.718648694805
No,Yes,1005.16130555577,24038.652043311802
No,Yes,162.454451086564,13241.752060075902
No,No,932.533155682331,50537.465648460195
No,Yes,893.3304676122749,11905.681792548401
No,No,1332.78256352571,44495.1627629054
No,No,1404.38306945215,35043.1060286742
No,Yes,1148.96513915926,16578.1921184729
No,No,368.223425720545,57596.825843193496
No,No,449.466628769273,45950.666723868606
No,No,820.017112578423,51584.6573183834
No,Yes,619.751868575593,15750.6220834222
No,No,1047.71812400961,46416.97099424191
No,No,243.84132832576,47193.8881309706
No,No,186.50038693149503,45430.5502710943
No,No,1422.01848757576,38224.0315214972
No,No,383.798659005674,61425.28638811401
No,No,1159.4350960885902,45802.1049386909
No,No,882.99191255185,17181.7379663818
No,No,1463.23289161086,65457.8541875824
No,Yes,1722.35584628315,19311.4229408044
No,Yes,773.921861257735,14558.9121383835
No,No,958.169418468988,32816.2847956415
No,No,1207.53273014951,68037.57512617769
No,No,1056.6108304963,30546.601034377403
No,No,117.64248393177601,46550.2672705963
No,No,596.9641192370041,58088.3604512649
No,No,0.0,47729.6257581971
No,Yes,541.6627553244571,16335.7034406021
No,No,1119.17830341806,45020.0191217013
No,Yes,810.320936469835,20498.66581411
No,No,271.55143774701,32850.1201448079
No,No,1114.4032365042801,47714.0221084582
No,No,867.0308280535651,33540.9799848111
No,Yes,1176.7894016772,17632.712103849
No,No,610.227818661398,42465.3629640684
No,No,272.615661715535,55449.3386406402
No,No,449.73508583685896,49643.426441667696
No,Yes,827.767209400324,10673.5262253922
No,No,430.000099449901,33925.2195976742
No,No,0.0,31825.7649719215
No,Yes,1557.34463668228,18404.594189222
No,No,928.236966261476,33722.1589415677
No,No,1373.45016328929,49101.798214189694
No,Yes,951.072907499984,18601.5332374944
No,Yes,1292.21086850542,23065.850975377
No,No,582.188700706555,24760.795733056402
No,Yes,339.42463828091303,19307.98029025
No,No,409.982324608766,44641.090118395994
No,No,1216.4515095543302,53639.846827384295
No,No,598.461392123585,44124.2681146436
Yes,Yes,1486.99812160021,17854.3970280731
No,No,943.7963387137621,59976.839867644405
No,No,0.0,49525.745020849405
No,Yes,996.2760867665919,20883.2407676238
No,Yes,748.301340361255,11248.670752734799
No,No,324.737921782032,15411.518567294299
No,Yes,575.382158489508,16005.6813190057
No,No,441.73828492625296,36012.2358964554
No,No,1188.64217955294,39526.5612652646
No,No,95.14768019040551,51371.1999147598
No,No,1015.61483748402,43218.794375243
