Year,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
2001,0.381,-0.192,-2.6239999999999997,-1.055,5.01,1.1913,0.9590000000000001,Up
2001,0.9590000000000001,0.381,-0.192,-2.6239999999999997,-1.055,1.2965,1.032,Up
2001,1.032,0.9590000000000001,0.381,-0.192,-2.6239999999999997,1.4112,-0.623,Down
2001,-0.623,1.032,0.9590000000000001,0.381,-0.192,1.276,0.614,Up
2001,0.614,-0.623,1.032,0.9590000000000001,0.381,1.2057,0.213,Up
2001,0.213,0.614,-0.623,1.032,0.9590000000000001,1.3491,1.392,Up
2001,1.392,0.213,0.614,-0.623,1.032,1.445,-0.40299999999999997,Down
2001,-0.40299999999999997,1.392,0.213,0.614,-0.623,1.4078,0.027000000000000003,Up
2001,0.027000000000000003,-0.40299999999999997,1.392,0.213,0.614,1.1640000000000001,1.3030000000000002,Up
2001,1.3030000000000002,0.027000000000000003,-0.40299999999999997,1.392,0.213,1.2326,0.287,Up
2001,0.287,1.3030000000000002,0.027000000000000003,-0.40299999999999997,1.392,1.3090000000000002,-0.498,Down
2001,-0.498,0.287,1.3030000000000002,0.027000000000000003,-0.40299999999999997,1.258,-0.18899999999999997,Down
2001,-0.18899999999999997,-0.498,0.287,1.3030000000000002,0.027000000000000003,1.0979999999999999,0.68,Up
2001,0.68,-0.18899999999999997,-0.498,0.287,1.3030000000000002,1.0531,0.701,Up
2001,0.701,0.68,-0.18899999999999997,-0.498,0.287,1.1498,-0.562,Down
2001,-0.562,0.701,0.68,-0.18899999999999997,-0.498,1.2953,0.546,Up
2001,0.546,-0.562,0.701,0.68,-0.18899999999999997,1.1188,-1.7469999999999999,Down
2001,-1.7469999999999999,0.546,-0.562,0.701,0.68,1.0484,0.359,Up
2001,0.359,-1.7469999999999999,0.546,-0.562,0.701,1.013,-0.151,Down
2001,-0.151,0.359,-1.7469999999999999,0.546,-0.562,1.0596,-0.841,Down
2001,-0.841,-0.151,0.359,-1.7469999999999999,0.546,1.1583,-0.623,Down
2001,-0.623,-0.841,-0.151,0.359,-1.7469999999999999,1.1072,-1.334,Down
2001,-1.334,-0.623,-0.841,-0.151,0.359,1.0755,1.183,Up
2001,1.183,-1.334,-0.623,-0.841,-0.151,1.0391,-0.865,Down
2001,-0.865,1.183,-1.334,-0.623,-0.841,1.0752,-0.218,Down
2001,-0.218,-0.865,1.183,-1.334,-0.623,1.1503,0.812,Up
2001,0.812,-0.218,-0.865,1.183,-1.334,1.1537,-1.891,Down
2001,-1.891,0.812,-0.218,-0.865,1.183,1.2572,-1.736,Down
2001,-1.736,-1.891,0.812,-0.218,-0.865,1.1122,-1.851,Down
2001,-1.851,-1.736,-1.891,0.812,-0.218,1.2085,-0.195,Down
2001,-0.195,-1.851,-1.736,-1.891,0.812,1.3659,-0.556,Down
2001,-0.556,-0.195,-1.851,-1.736,-1.891,1.2313,1.749,Up
2001,1.749,-0.556,-0.195,-1.851,-1.736,1.1308,-0.7659999999999999,Down
2001,-0.7659999999999999,1.749,-0.556,-0.195,-1.851,1.1141,-1.431,Down
2001,-1.431,-0.7659999999999999,1.749,-0.556,-0.195,1.2253,0.10400000000000001,Up
2001,0.10400000000000001,-1.431,-0.7659999999999999,1.749,-0.556,1.2949,-0.568,Down
2001,-0.568,0.10400000000000001,-1.431,-0.7659999999999999,1.749,1.294,0.586,Up
2001,0.586,-0.568,0.10400000000000001,-1.431,-0.7659999999999999,0.9292,0.998,Up
2001,0.998,0.586,-0.568,0.10400000000000001,-1.431,1.0918,0.645,Up
2001,0.645,0.998,0.586,-0.568,0.10400000000000001,1.1322,0.226,Up
2001,0.226,0.645,0.998,0.586,-0.568,1.1141,-2.476,Down
2001,-2.476,0.226,0.645,0.998,0.586,1.0859,-4.3180000000000005,Down
2001,-4.3180000000000005,-2.476,0.226,0.645,0.998,1.229,1.483,Up
2001,1.483,-4.3180000000000005,-2.476,0.226,0.645,1.3609,-2.5839999999999996,Down
2001,-2.5839999999999996,1.483,-4.3180000000000005,-2.476,0.226,1.3974,0.5870000000000001,Up
2001,0.5870000000000001,-2.5839999999999996,1.483,-4.3180000000000005,-2.476,1.2595,-1.962,Down
2001,-1.962,0.5870000000000001,-2.5839999999999996,1.483,-4.3180000000000005,1.54356,1.7630000000000001,Up
2001,1.7630000000000001,-1.962,0.5870000000000001,-2.5839999999999996,1.483,1.1262,-2.408,Down
2001,-2.408,1.7630000000000001,-1.962,0.5870000000000001,-2.5839999999999996,1.2359,-1.7919999999999998,Down
2001,-1.7919999999999998,-2.408,1.7630000000000001,-1.962,0.5870000000000001,1.3463,-0.406,Down
2001,-0.406,-1.7919999999999998,-2.408,1.7630000000000001,-1.962,1.72395,1.9909999999999999,Up
2001,1.9909999999999999,-0.406,-1.7919999999999998,-2.408,1.7630000000000001,1.3649,1.128,Up
2001,1.128,1.9909999999999999,-0.406,-1.7919999999999998,-2.408,1.114,2.557,Up
2001,2.557,1.128,1.9909999999999999,-0.406,-1.7919999999999998,1.3142,-2.443,Down
2001,-2.443,2.557,1.128,1.9909999999999999,-0.406,1.3334,-0.46299999999999997,Down
2001,-0.46299999999999997,-2.443,2.557,1.128,1.9909999999999999,1.2345,1.078,Up
2001,1.078,-0.46299999999999997,-2.443,2.557,1.128,1.2808,-1.246,Down
2001,-1.246,1.078,-0.46299999999999997,-2.443,2.557,1.2549,-3.4389999999999996,Down
2001,-3.4389999999999996,-1.246,1.078,-0.46299999999999997,-2.443,1.3861,-0.29,Down
2001,-0.29,-3.4389999999999996,-1.246,1.078,-0.46299999999999997,1.42559,4.368,Up
2001,4.368,-0.29,-3.4389999999999996,-1.246,1.078,1.368,-1.9980000000000002,Down
2001,-1.9980000000000002,4.368,-0.29,-3.4389999999999996,-1.246,1.2668,0.812,Up
2001,0.812,-1.9980000000000002,4.368,-0.29,-3.4389999999999996,1.0628,2.707,Up
2001,2.707,0.812,-1.9980000000000002,4.368,-0.29,1.3496,-0.213,Down
2001,-0.213,2.707,0.812,-1.9980000000000002,4.368,1.2903,1.51,Up
2001,1.51,-0.213,2.707,0.812,-1.9980000000000002,1.102,-0.32299999999999995,Down
2001,-0.32299999999999995,1.51,-0.213,2.707,0.812,0.9139,1.028,Up
2001,1.028,-0.32299999999999995,1.51,-0.213,2.707,1.1096,3.889,Up
2001,3.889,1.028,-0.32299999999999995,1.51,-0.213,1.9189,1.254,Up
2001,1.254,3.889,1.028,-0.32299999999999995,1.51,1.4868,-0.8540000000000001,Down
2001,-0.8540000000000001,1.254,3.889,1.028,-0.32299999999999995,1.3387,-1.4980000000000002,Down
2001,-1.4980000000000002,-0.8540000000000001,1.254,3.889,1.028,1.0126,-1.216,Down
2001,-1.216,-1.4980000000000002,-0.8540000000000001,1.254,3.889,1.2165,1.594,Up
2001,1.594,-1.216,-1.4980000000000002,-0.8540000000000001,1.254,1.2036,0.47,Up
2001,0.47,1.594,-1.216,-1.4980000000000002,-0.8540000000000001,1.3452,1.501,Up
2001,1.501,0.47,1.594,-1.216,-1.4980000000000002,1.0913,-0.287,Down
2001,-0.287,1.501,0.47,1.594,-1.216,1.2668,1.359,Up
2001,1.359,-0.287,1.501,0.47,1.594,1.1813,0.078,Up
2001,0.078,1.359,-0.287,1.501,0.47,1.3422,-1.4869999999999999,Down
2001,-1.4869999999999999,0.078,1.359,-0.287,1.501,1.1379,1.444,Up
2001,1.444,-1.4869999999999999,0.078,1.359,-0.287,1.0821,-0.245,Down
2001,-0.245,1.444,-1.4869999999999999,0.078,1.359,0.9490000000000001,-0.183,Down
2001,-0.183,-0.245,1.444,-1.4869999999999999,0.078,1.0063,-0.449,Down
2001,-0.449,-0.183,-0.245,1.444,-1.4869999999999999,1.1324,-0.028999999999999998,Down
2001,-0.028999999999999998,-0.449,-0.183,-0.245,1.444,1.0567,-0.758,Down
2001,-0.758,-0.028999999999999998,-0.449,-0.183,-0.245,0.9062,0.261,Up
2001,0.261,-0.758,-0.028999999999999998,-0.449,-0.183,0.8582,0.042,Up
2001,0.042,0.261,-0.758,-0.028999999999999998,-0.449,1.0718,2.845,Up
2001,2.845,0.042,0.261,-0.758,-0.028999999999999998,1.4053,0.272,Up
2001,0.272,2.845,0.042,0.261,-0.758,1.3556,0.26899999999999996,Up
2001,0.26899999999999996,0.272,2.845,0.042,0.261,1.1308,1.615,Up
2001,1.615,0.26899999999999996,0.272,2.845,0.042,1.1749,-0.263,Down
2001,-0.263,1.615,0.26899999999999996,0.272,2.845,1.2604,-1.5530000000000002,Down
2001,-1.5530000000000002,-0.263,1.615,0.26899999999999996,0.272,1.1348,0.32,Up
2001,0.32,-1.5530000000000002,-0.263,1.615,0.26899999999999996,1.1007,-1.182,Down
2001,-1.182,0.32,-1.5530000000000002,-0.263,1.615,0.8281,-0.779,Down
2001,-0.779,-1.182,0.32,-1.5530000000000002,-0.263,1.026,-1.5659999999999998,Down
2001,-1.5659999999999998,-0.779,-1.182,0.32,-1.5530000000000002,1.1586,0.62,Up
2001,0.62,-1.5659999999999998,-0.779,-1.182,0.32,1.2266,0.386,Up
2001,0.386,0.62,-1.5659999999999998,-0.779,-1.182,1.015,0.511,Up
2001,0.511,0.386,0.62,-1.5659999999999998,-0.779,0.8365,1.2990000000000002,Up
2001,1.2990000000000002,0.511,0.386,0.62,-1.5659999999999998,1.1168,-1.055,Down
2001,-1.055,1.2990000000000002,0.511,0.386,0.62,1.0619,0.546,Up
2001,0.546,-1.055,1.2990000000000002,0.511,0.386,1.0896,-0.94,Down
2001,-0.94,0.546,-1.055,1.2990000000000002,0.511,0.7262,-0.836,Down
2001,-0.836,-0.94,0.546,-1.055,1.2990000000000002,0.8701,0.11599999999999999,Up
2001,0.11599999999999999,-0.836,-0.94,0.546,-1.055,1.1365,-1.135,Down
2001,-1.135,0.11599999999999999,-0.836,-0.94,0.546,1.0636,-1.75,Down
2001,-1.75,-1.135,0.11599999999999999,-0.836,-0.94,1.2429,-0.452,Down
2001,-0.452,-1.75,-1.135,0.11599999999999999,-0.836,1.63555,-0.488,Down
2001,-0.488,-0.452,-1.75,-1.135,0.11599999999999999,1.1116,0.34299999999999997,Up
2001,0.34299999999999997,-0.488,-0.452,-1.75,-1.135,1.1849,0.871,Up
2001,0.871,0.34299999999999997,-0.488,-0.452,-1.75,1.3501,1.136,Up
2001,1.136,0.871,0.34299999999999997,-0.488,-0.452,1.54682,-0.945,Down
2001,-0.945,1.136,0.871,0.34299999999999997,-0.488,1.1892,-0.551,Down
2001,-0.551,-0.945,1.136,0.871,0.34299999999999997,1.0501,-0.151,Down
2001,-0.151,-0.551,-0.945,1.136,0.871,1.1989,-0.46799999999999997,Down
2001,-0.46799999999999997,-0.151,-0.551,-0.945,1.136,1.1621,1.249,Up
2001,1.249,-0.46799999999999997,-0.151,-0.551,-0.945,1.3273,-0.14800000000000002,Down
2001,-0.14800000000000002,1.249,-0.46799999999999997,-0.151,-0.551,1.8323599999999998,1.008,Up
2001,1.008,-0.14800000000000002,1.249,-0.46799999999999997,-0.151,1.1283,-0.184,Down
2001,-0.184,1.008,-0.14800000000000002,1.249,-0.46799999999999997,0.62211,-1.232,Down
2001,-1.232,-0.184,1.008,-0.14800000000000002,1.249,0.9349,-2.35,Down
2001,-2.35,-1.232,-0.184,1.008,-0.14800000000000002,1.0567,0.688,Up
2001,0.688,-2.35,-1.232,-0.184,1.008,1.0457,-1.44,Down
2001,-1.44,0.688,-2.35,-1.232,-0.184,1.2638,-0.113,Down
2001,-0.113,-1.44,0.688,-2.35,-1.232,1.3841,2.369,Up
2001,2.369,-0.113,-1.44,0.688,-2.35,1.3940000000000001,0.624,Up
2001,0.624,2.369,-0.113,-1.44,0.688,1.1217,-1.088,Down
2001,-1.088,0.624,2.369,-0.113,-1.44,1.0398,0.997,Up
2001,0.997,-1.088,0.624,2.369,-0.113,1.2381,-0.5539999999999999,Down
